,data,percent,player,rank
0,8.26,1.8,BreadDiary,825
1,31.54,4.4,BreadDiary,841
2,185072.9,0.1,BreadDiary,327
3,130,0.2,BreadDiary,3341
4,41,0.1,BreadDiary,1
5,0.5,12.0,BreadDiary,7610
6,82,0.1,BreadDiary,49
7,63.08,8.0,BreadDiary,556
8,89,0.5,BreadDiary,9409
9,2785,0.1,BreadDiary,1
10,2784.67,0.1,BreadDiary,1
11,1,100.0,BreadDiary,null
12,588.63,3.9,BreadDiary,1131
13,4.37,0.5,BreadDiary,283
14,1.56,31.0,BreadDiary,41218
15,5.65,3.6,BreadDiary,948
16,5797.49,8.0,BreadDiary,4142
17,0,100.0,BreadDiary,1
18,0,100.0,BreadDiary,71907
19,0.02,11.0,BreadDiary,48056
20,1423.64,11.0,BreadDiary,1094
21,0.63,8.0,BreadDiary,556
22,735,0.1,BreadDiary,1
23,11,0.2,BreadDiary,3922
24,2,2.6,BreadDiary,4144
25,2,2.6,BreadDiary,4146
26,568,0.1,BreadDiary,14
27,0.77,2.4,BreadDiary,594
28,3,null,BreadDiary,5114
29,0,null,BreadDiary,71907
30,17,4.1,BreadDiary,1217
31,308,0.1,BreadDiary,107
32,16,0.7,BreadDiary,1733
33,3,null,BreadDiary,8578
34,0,100.0,BreadDiary,null
35,13,0.1,BreadDiary,15496
36,1955.24,11.0,BreadDiary,47351
37,1955.24,11.0,BreadDiary,47351
38,1423.64,11.0,BreadDiary,1571
39,2298,0.1,BreadDiary,1
40,343908.1,0.4,BreadDiary,2344
41,409765.8,0.1,BreadDiary,419
42,753673.9,0.2,BreadDiary,1548
43,2645.45,8.0,BreadDiary,3934
44,3152.04,10.0,BreadDiary,5748
45,951.65,0.2,BreadDiary,521
46,203,0.1,BreadDiary,2160
47,0,null,BreadDiary,1
48,315,0.1,BreadDiary,800
49,76521.52,0.1,BreadDiary,78
50,0,null,BreadDiary,1
51,6.74,3.1,SiSi9032777,1382
52,38.78,3.0,SiSi9032777,466
53,217855.5,0.1,SiSi9032777,133
54,147,0.1,SiSi9032777,2182
55,57,0.1,SiSi9032777,3
56,0.56,8.0,SiSi9032777,7033
57,102,0.1,SiSi9032777,16
58,69.39,7.0,SiSi9032777,243
59,90,0.5,SiSi9032777,8840
60,2751,0.1,SiSi9032777,3
61,2750.51,0.1,SiSi9032777,3
62,1,100.0,SiSi9032777,null
63,448.48,8.0,SiSi9032777,2936
64,1.6,4.7,SiSi9032777,3617
65,0.98,55.0,SiSi9032777,107345
66,4.13,7.0,SiSi9032777,2835
67,4704.42,14.0,SiSi9032777,8067
68,0,100.0,SiSi9032777,1
69,0,100.0,SiSi9032777,71907
70,0,100.0,SiSi9032777,56108
71,1482.01,10.0,SiSi9032777,590
72,0.69,7.0,SiSi9032777,242
73,607,0.1,SiSi9032777,4
74,8,0.5,SiSi9032777,7315
75,0,100.0,SiSi9032777,56090
76,0,100.0,SiSi9032777,56108
77,235,0.1,SiSi9032777,266
78,0.39,13.0,SiSi9032777,10619
79,6,0.2,SiSi9032777,986
80,0,null,SiSi9032777,71907
81,28,1.2,SiSi9032777,7238
82,71,0.5,SiSi9032777,5592
83,14,1.8,SiSi9032777,4037
84,3,null,SiSi9032777,8578
85,0,100.0,SiSi9032777,null
86,14,0.1,SiSi9032777,7513
87,1970.8,7.0,SiSi9032777,31813
88,1970.8,7.0,SiSi9032777,31813
89,1482.01,9.0,SiSi9032777,861
90,2275,0.1,SiSi9032777,3
91,305824.6,0.4,SiSi9032777,2525
92,385725.8,0.1,SiSi9032777,479
93,691550.4,0.3,SiSi9032777,1793
94,2080.44,17.0,SiSi9032777,9146
95,2623.98,14.0,SiSi9032777,10355
96,464.49,1.9,SiSi9032777,7741
97,144,0.3,SiSi9032777,5721
98,0,null,SiSi9032777,1
99,344,0.1,SiSi9032777,548
100,65926.46,0.1,SiSi9032777,126
101,0,null,SiSi9032777,1
102,12.73,0.6,baigehenkua,246
103,51.47,1.5,baigehenkua,157
104,97945.48,0.1,baigehenkua,3240
105,68,1.2,baigehenkua,18585
106,35,0.1,baigehenkua,18
107,0.8,7.0,baigehenkua,2939
108,44,0.1,baigehenkua,505
109,64.71,8.0,baigehenkua,436
110,33,6.0,baigehenkua,67154
111,2630,0.1,baigehenkua,17
112,2629.55,0.1,baigehenkua,5
113,2,100.0,baigehenkua,null
114,639.45,3.1,baigehenkua,727
115,4.32,0.5,baigehenkua,291
116,1.09,45.0,baigehenkua,92820
117,6.18,2.6,baigehenkua,612
118,5253.05,10.0,baigehenkua,5523
119,0,100.0,baigehenkua,1
120,0.01,17.0,baigehenkua,66281
121,0.01,12.0,baigehenkua,49114
122,1440.37,11.0,baigehenkua,887
123,0.65,8.0,baigehenkua,436
124,420,0.1,baigehenkua,16
125,3,9.0,baigehenkua,48300
126,1,14.0,baigehenkua,14915
127,1,14.0,baigehenkua,14917
128,294,0.1,baigehenkua,148
129,0.7,2.9,baigehenkua,1103
130,1,16.0,baigehenkua,25586
131,1,null,baigehenkua,29684
132,72,0.1,baigehenkua,944
133,72,0.5,baigehenkua,5423
134,12,4.0,baigehenkua,9159
135,3,null,baigehenkua,8578
136,0,100.0,baigehenkua,null
137,7,7.0,baigehenkua,74536
138,1999.43,3.8,baigehenkua,18145
139,1999.43,3.8,baigehenkua,18145
140,1440.38,10.0,baigehenkua,1288
141,2171,0.1,baigehenkua,18
142,135707.8,0.7,baigehenkua,7376
143,221499.6,0.1,baigehenkua,2071
144,357207.5,0.5,baigehenkua,4440
145,1995.7,19.0,baigehenkua,11032
146,3257.35,9.0,baigehenkua,5078
147,694.51,0.6,baigehenkua,2747
148,74,2.0,baigehenkua,27057
149,0,null,baigehenkua,1
150,243,0.1,baigehenkua,1627
151,43482.32,0.1,baigehenkua,572
152,0,null,baigehenkua,1
153,2.02,27.0,PandaTV-1073033,24773
154,12.78,11.0,PandaTV-1073033,5722
155,286662.8,0.1,PandaTV-1073033,35
156,180,0.1,PandaTV-1073033,1069
157,23,0.1,PandaTV-1073033,7
158,0.17,20.0,PandaTV-1073033,44160
159,135,0.1,PandaTV-1073033,6
160,75,7.0,PandaTV-1073033,109
161,157,0.1,PandaTV-1073033,1698
162,2634,0.1,PandaTV-1073033,14
163,2633.81,0.1,PandaTV-1073033,7
164,1,100.0,PandaTV-1073033,null
165,207.47,35.0,PandaTV-1073033,32738
166,0.33,37.0,PandaTV-1073033,46824
167,12.35,0.3,PandaTV-1073033,30
168,1.76,36.0,PandaTV-1073033,31644
169,6635.64,4.4,PandaTV-1073033,2989
170,0,100.0,PandaTV-1073033,1
171,0.11,8.0,PandaTV-1073033,5215
172,0.01,12.0,PandaTV-1073033,55778
173,1592.57,7.0,PandaTV-1073033,132
174,0.75,7.0,PandaTV-1073033,109
175,317,0.1,PandaTV-1073033,1025
176,13,0.1,PandaTV-1073033,1756
177,1,14.0,PandaTV-1073033,14915
178,1,14.0,PandaTV-1073033,14917
179,59,0.3,PandaTV-1073033,4162
180,0.19,41.0,PandaTV-1073033,97715
181,5,0.3,PandaTV-1073033,1623
182,20,0.1,PandaTV-1073033,184
183,2,60.0,PandaTV-1073033,43706
184,48,1.7,PandaTV-1073033,14017
185,8,16.0,PandaTV-1073033,34178
186,4,null,PandaTV-1073033,3746
187,0,100.0,PandaTV-1073033,null
188,16,0.1,PandaTV-1073033,5355
189,2220.52,0.1,PandaTV-1073033,42
190,2220.52,0.1,PandaTV-1073033,42
191,1592.57,7.0,PandaTV-1073033,221
192,2220,0.1,PandaTV-1073033,7
193,318118.9,0.4,PandaTV-1073033,2478
194,876295.9,0.1,PandaTV-1073033,29
195,1194415,0.1,PandaTV-1073033,312
196,1767.33,26.0,PandaTV-1073033,19611
197,4868.31,2.8,PandaTV-1073033,1014
198,353.92,4.3,PandaTV-1073033,17831
199,2223,0.1,PandaTV-1073033,6
200,0,null,PandaTV-1073033,1
201,839,0.1,PandaTV-1073033,18
202,37344.31,0.1,PandaTV-1073033,925
203,0,null,PandaTV-1073033,1
204,7.38,2.5,WS-QF,1244
205,24.07,6.0,WS-QF,2606
206,116713.8,0.1,WS-QF,4301
207,108,0.3,WS-QF,11835
208,26,0.1,WS-QF,27
209,0.59,8.0,WS-QF,7560
210,44,0.1,WS-QF,1336
211,40.74,16.0,WS-QF,6678
212,82,0.7,WS-QF,19056
213,2608,0.1,WS-QF,23
214,2607.85,0.1,WS-QF,91
215,23,100.0,WS-QF,null
216,582.05,4.0,WS-QF,1045
217,1.72,4.4,WS-QF,3663
218,1.49,34.0,WS-QF,38065
219,5.6,3.6,WS-QF,911
220,3586.69,25.0,WS-QF,21428
221,0,100.0,WS-QF,1
222,0.01,17.0,WS-QF,68510
223,0.01,12.0,WS-QF,51694
224,1080.68,27.0,WS-QF,12784
225,0.41,16.0,WS-QF,6690
226,605,0.1,WS-QF,5
227,9,0.3,WS-QF,21206
228,1,14.0,WS-QF,14915
229,1,14.0,WS-QF,14917
230,186,0.1,WS-QF,1064
231,0.31,21.0,WS-QF,34985
232,4,0.6,WS-QF,2771
233,1,19.0,WS-QF,29684
234,153,0.1,WS-QF,30478
235,235,0.1,WS-QF,2919
236,16,0.7,WS-QF,1733
237,3,6.0,WS-QF,8578
238,0,100.0,WS-QF,null
239,8,3.9,WS-QF,56818
240,2018.99,3.0,WS-QF,14520
241,2018.99,3.0,WS-QF,14520
242,1080.68,27.0,WS-QF,16024
243,2135,0.1,WS-QF,27
244,193665.5,0.5,WS-QF,6037
245,193696.7,0.1,WS-QF,6060
246,387362.2,0.4,WS-QF,6370
247,1793.2,25.0,WS-QF,16272
248,1793.49,26.0,WS-QF,31007
249,722.96,0.6,WS-QF,2468
250,161,0.2,WS-QF,7014
251,0,null,WS-QF,1
252,423,0.1,WS-QF,725
253,62861.91,0.1,WS-QF,382
254,0,null,WS-QF,1
255,4.23,8.0,TEAM-SB,4034
256,29.41,4.4,TEAM-SB,1031
257,113951.6,0.1,TEAM-SB,1953
258,85,0.6,TEAM-SB,10804
259,25,0.1,TEAM-SB,20
260,0.56,8.0,TEAM-SB,7041
261,45,0.1,TEAM-SB,480
262,52.94,9.0,TEAM-SB,1548
263,60,1.6,TEAM-SB,23339
264,2606,0.1,TEAM-SB,24
265,2606.16,0.1,TEAM-SB,11
266,7,100.0,TEAM-SB,null
267,322.87,17.0,TEAM-SB,8547
268,2.56,1.9,TEAM-SB,1525
269,0.49,72.0,TEAM-SB,159092
270,2.99,17.0,TEAM-SB,7436
271,4318.46,17.0,TEAM-SB,10870
272,0,100.0,TEAM-SB,1
273,0.01,17.0,TEAM-SB,68821
274,0.05,8.0,TEAM-SB,15789
