,data,percent,player,rank
0,13.6,0.4,Douming98k,16
1,45.65,3.2,Douming98k,82
2,70977.37,0.7,Douming98k,6032
3,46,6.0,Douming98k,35129
4,21,0.1,Douming98k,19
5,0.55,8.0,Douming98k,4085
6,38,0.1,Douming98k,1056
7,82.61,6.0,Douming98k,83
8,25,17.0,Douming98k,89304
9,2436,0.1,Douming98k,16
10,2435.93,0.1,Douming98k,1
11,6,null,Douming98k,0
12,870.04,0.7,Douming98k,33
13,4.26,0.3,Douming98k,52
14,0.91,78.0,Douming98k,141613
15,7.39,0.9,Douming98k,27
16,5650.06,6.0,Douming98k,1614
17,0.2,34.0,Douming98k,49783
18,0.09,4.2,Douming98k,2842
19,0.02,23.0,Douming98k,65583
20,1542.99,6.0,Douming98k,145
21,0.83,6.0,Douming98k,83
22,340,0.1,Douming98k,26
23,13,7.0,Douming98k,35118
24,0,100.0,Douming98k,62710
25,1,26.0,Douming98k,33921
26,196,0.1,Douming98k,118
27,0.58,3.3,Douming98k,1439
28,2,null,Douming98k,9410
29,4,null,Douming98k,648
30,19,9.0,Douming98k,28392
31,339,0.1,Douming98k,26
32,18,0.2,Douming98k,394
33,3,null,Douming98k,4417
34,0,100.0,Douming98k,0
35,7,1.8,Douming98k,29748
36,2105.98,1.6,Douming98k,5714
37,2105.98,1.6,Douming98k,5714
38,1542.99,6.0,Douming98k,267
39,2005,0.1,Douming98k,19
40,157894.1,0.3,Douming98k,2317
41,102008.5,1.0,Douming98k,9083
42,259902.6,0.4,Douming98k,4052
43,3432.48,2.2,Douming98k,104
44,2217.58,17.0,Douming98k,13959
45,624.9,0.3,Douming98k,896
46,42,20.0,Douming98k,94316
47,9,6.0,Douming98k,26577
48,124,0.8,Douming98k,6369
49,40021.69,0.1,Douming98k,310
50,182,0.1,Douming98k,409
51,12.8,0.5,Q9N-639965248,22
52,60.53,1.5,Q9N-639965248,9
53,61757.9,1.2,Q9N-639965248,9458
54,38,9.0,Q9N-639965248,50357
55,23,0.1,Q9N-639965248,0
56,0.66,7.0,Q9N-639965248,2175
57,35,0.1,Q9N-639965248,1450
58,92.11,6.0,Q9N-639965248,11
59,15,32.0,Q9N-639965248,154559
60,2416,0.1,Q9N-639965248,0
61,2415.56,0.1,Q9N-639965248,3
62,0,null,Q9N-639965248,0
63,595.71,2.6,Q9N-639965248,456
64,3.05,0.5,Q9N-639965248,291
65,1.16,68.0,Q9N-639965248,122700
66,5.05,3.3,Q9N-639965248,405
67,5540.8,7.0,Q9N-639965248,1811
68,0.16,41.0,Q9N-639965248,74233
69,0,100.0,Q9N-639965248,38909
70,0,100.0,Q9N-639965248,77250
71,1625.21,4.1,Q9N-639965248,37
72,0.92,6.0,Q9N-639965248,11
73,192,0.2,Q9N-639965248,0
74,30,0.4,Q9N-639965248,4160
75,0,100.0,Q9N-639965248,62710
76,0,100.0,Q9N-639965248,77250
77,116,0.1,Q9N-639965248,430
78,0.6,3.2,Q9N-639965248,1128
79,3,null,Q9N-639965248,4007
80,0,null,Q9N-639965248,38909
81,34,1.7,Q9N-639965248,8774
82,138,0.1,Q9N-639965248,1032
83,10,9.0,Q9N-639965248,14889
84,4,null,Q9N-639965248,554
85,0,100.0,Q9N-639965248,0
86,5,10.0,Q9N-639965248,65272
87,1946.47,15.0,Q9N-639965248,46660
88,1946.47,15.0,Q9N-639965248,46660
89,1625.21,4.1,Q9N-639965248,66
90,2008,0.1,Q9N-639965248,0
91,123022.4,0.7,Q9N-639965248,5677
