,data,percent,player,rank
0,3.92,9.0,Kuaishou-Mao,1589
1,14.68,9.0,Kuaishou-Mao,2011
2,134739.5,0.1,Kuaishou-Mao,358
3,109,0.2,Kuaishou-Mao,2104
4,16,0.1,Kuaishou-Mao,1
5,0.33,15.0,Kuaishou-Mao,11004
6,48,0.1,Kuaishou-Mao,138
7,44.04,15.0,Kuaishou-Mao,1775
8,93,0.3,Kuaishou-Mao,3191
9,2717,0.1,Kuaishou-Mao,1
10,2716.56,0.1,Kuaishou-Mao,1
11,1,0.3,Kuaishou-Mao,0
12,380.85,10.0,Kuaishou-Mao,1660
13,2.25,1.5,Kuaishou-Mao,586
14,1.4,39.0,Kuaishou-Mao,31935
15,3.35,10.0,Kuaishou-Mao,1681
16,3551.71,23.0,Kuaishou-Mao,8170
17,0,100.0,Kuaishou-Mao,1
18,0,100.0,Kuaishou-Mao,29063
19,0.02,14.0,Kuaishou-Mao,30871
20,1236.14,17.0,Kuaishou-Mao,2196
21,0.44,15.0,Kuaishou-Mao,1775
22,365,0.1,Kuaishou-Mao,2
23,9,0.3,Kuaishou-Mao,2411
24,2,3.1,Kuaishou-Mao,3282
25,2,3.0,Kuaishou-Mao,3282
26,245,0.1,Kuaishou-Mao,82
27,0.67,2.9,Kuaishou-Mao,513
28,3,0.8,Kuaishou-Mao,1397
29,0,100.0,Kuaishou-Mao,29063
30,112,0.1,Kuaishou-Mao,135
31,112,0.1,Kuaishou-Mao,1295
32,13,1.3,Kuaishou-Mao,2158
33,2,24.0,Kuaishou-Mao,9012
34,0,100.0,Kuaishou-Mao,0
35,6,4.1,Kuaishou-Mao,30361
36,2096.2,1.3,Kuaishou-Mao,3816
37,2096.2,1.3,Kuaishou-Mao,3816
38,1236.14,17.0,Kuaishou-Mao,2980
39,2239,0.1,Kuaishou-Mao,1
40,238118.2,0.1,Kuaishou-Mao,264
41,149018.6,0.1,Kuaishou-Mao,1534
42,387136.7,0.1,Kuaishou-Mao,571
43,2184.57,17.0,Kuaishou-Mao,3640
44,1367.14,29.0,Kuaishou-Mao,18718
45,769.9,0.1,Kuaishou-Mao,196
46,153,0.2,Kuaishou-Mao,2165
