,data,percent,player,rank
0,6.73,2.5,xxwb6411,436
1,40.96,3.0,xxwb6411,163
2,107565.9,0.1,xxwb6411,1165
3,83,0.3,xxwb6411,7915
4,34,0.1,xxwb6411,16
5,0.67,7.0,xxwb6411,1353
6,51,0.1,xxwb6411,293
7,61.45,11.0,xxwb6411,1989
8,49,1.3,xxwb6411,28612
9,2115,0.1,xxwb6411,15
10,2114.66,0.1,xxwb6411,370
11,15,0.7,xxwb6411,0
12,563.4,4.0,xxwb6411,615
13,1.93,3.4,xxwb6411,1043
14,1.83,37.0,xxwb6411,60916
15,3.98,7.0,xxwb6411,1433
16,4416.25,14.0,xxwb6411,7180
17,0.24,25.0,xxwb6411,29873
18,0.01,6.0,xxwb6411,36650
19,0.05,14.0,xxwb6411,31064
20,1295.97,13.0,xxwb6411,2313
21,0.61,11.0,xxwb6411,1989
22,330,0.1,xxwb6411,48
23,84,0.1,xxwb6411,61
24,4,0.3,xxwb6411,1048
25,4,0.6,xxwb6411,3141
26,160,0.1,xxwb6411,201
27,0.48,11.0,xxwb6411,3057
28,4,null,xxwb6411,1899
29,1,7.0,xxwb6411,11883
30,22,4.2,xxwb6411,22083
31,29,6.0,xxwb6411,46275
32,12,2.8,xxwb6411,6332
33,4,null,xxwb6411,554
34,0,100.0,xxwb6411,0
35,9,0.2,xxwb6411,12426
36,2001.35,2.0,xxwb6411,13672
37,2001.35,2.0,xxwb6411,13672
38,1295.97,13.0,xxwb6411,3410
39,1755,0.1,xxwb6411,16
40,174344.5,0.1,xxwb6411,1575
41,192204,0.1,xxwb6411,1166
42,366548.6,0.1,xxwb6411,1140
43,2100.54,18.0,xxwb6411,8877
44,2315.71,14.0,xxwb6411,11909
45,767.38,0.1,xxwb6411,250
46,152,0.3,xxwb6411,7865
47,20,0.2,xxwb6411,3089
48,263,0.1,xxwb6411,395
49,46762.37,0.1,xxwb6411,167
50,222,0.1,xxwb6411,184
51,8.52,1.5,PDD7,175
52,41.67,3.0,PDD7,143
53,53541.98,0.7,PDD7,14500
54,36,3.4,PDD7,55227
55,15,0.1,PDD7,30
56,0.56,7.0,PDD7,3904
57,27,0.3,PDD7,3479
58,75,8.0,PDD7,286
59,21,9.0,PDD7,110360
60,2072,0.1,PDD7,25
61,2072.45,0.1,PDD7,612
62,4,0.7,PDD7,0
63,626.51,3.1,PDD7,351
64,0.92,11.0,PDD7,3925
65,2.64,21.0,PDD7,18606
66,4.97,4.0,PDD7,438
67,3353.44,28.0,PDD7,28167
68,0.36,13.0,PDD7,6355
69,0,100.0,PDD7,38909
70,0.03,16.0,PDD7,57292
71,1487.28,7.0,PDD7,309
72,0.75,8.0,PDD7,286
73,179,0.3,PDD7,84
74,58,0.1,PDD7,314
75,0,100.0,PDD7,62710
76,1,17.0,PDD7,33921
77,33,0.7,PDD7,5878
78,0.18,45.0,PDD7,98728
79,3,0.6,PDD7,4007
80,0,100.0,PDD7,38909
81,40,0.8,PDD7,5755
82,137,0.2,PDD7,1068
83,13,1.9,PDD7,4112
84,2,55.0,PDD7,25653
85,0,100.0,PDD7,0
86,4,8.0,PDD7,90956
87,1932.62,9.0,PDD7,53765
88,1932.62,9.0,PDD7,53765
89,1487.28,7.0,PDD7,519
90,1721,0.1,PDD7,30
91,73970.98,1.1,PDD7,24126
92,46753.06,2.6,PDD7,50682
93,120724,1.5,PDD7,34173
94,2054.75,19.0,PDD7,10392
95,1298.7,35.0,PDD7,59492
96,365.06,2.9,PDD7,14859
97,95,1.2,PDD7,26149
98,13,0.5,PDD7,11475
99,120,0.4,PDD7,7034
100,22554.3,0.2,PDD7,2404
101,95,0.3,PDD7,3655
102,3.22,11.0,PandaTV1063474,0
103,17.02,9.0,PandaTV1063474,0
104,405872.1,0.1,PandaTV1063474,0
105,329,0.1,PandaTV1063474,0
106,56,0.1,PandaTV1063474,20
107,0.33,16.0,PandaTV1063474,0
108,171,0.1,PandaTV1063474,0
109,51.98,13.0,PandaTV1063474,0
110,273,0.1,PandaTV1063474,0
111,2058,0.1,PandaTV1063474,32
112,2123.87,0.1,PandaTV1063474,0
113,32,0.7,PandaTV1063474,0
114,335.47,13.0,PandaTV1063474,0
115,0.63,16.0,PandaTV1063474,0
116,3.29,14.0,PandaTV1063474,0
117,2.67,14.0,PandaTV1063474,0
118,4518.75,13.0,PandaTV1063474,0
119,0.27,21.0,PandaTV1063474,0
120,0.01,6.0,PandaTV1063474,0
121,0.02,17.0,PandaTV1063474,0
122,1233.65,15.0,PandaTV1063474,0
123,0.52,13.0,PandaTV1063474,0
124,879,0.1,PandaTV1063474,963
125,191,0.1,PandaTV1063474,0
126,4,0.3,PandaTV1063474,0
127,6,0.2,PandaTV1063474,0
128,208,0.1,PandaTV1063474,0
129,0.24,34.0,PandaTV1063474,0
130,10,null,PandaTV1063474,0
131,2,1.2,PandaTV1063474,0
132,2,64.0,PandaTV1063474,0
133,104,0.3,PandaTV1063474,0
134,11,4.2,PandaTV1063474,0
135,3,null,PandaTV1063474,0
136,0,100.0,PandaTV1063474,0
137,14,0.1,PandaTV1063474,0
138,2184.93,0.3,PandaTV1063474,0
139,2184.93,0.3,PandaTV1063474,0
140,1233.65,15.0,PandaTV1063474,0
141,1740,0.1,PandaTV1063474,20
142,720300.6,0.1,PandaTV1063474,0
143,766368.9,0.1,PandaTV1063474,0
144,1486670,0.1,PandaTV1063474,0
145,2189.36,16.0,PandaTV1063474,0
146,2329.39,14.0,PandaTV1063474,0
147,384.34,2.2,PandaTV1063474,0
148,1083,0.1,PandaTV1063474,0
